id,url
1,www.academiehoboken.be
2,www.ma-an.be
3,http://www.artiz-izegem.be
4,www.conservatorium-brugge.be
5,www.kanl.be
6,kunstacademiepoperinge.be
7,www.gooik.be/academie
8,www.academiewilrijk.be
9,www.muziekenwoord.be
10,www.machopin-etterbeek.be
11,www.muziekacademie-turnhout.be
12,www.academiewemmel.be
13,www.kazwevegem.be
14,www.hoofdstedelijkeacademie.be
15,www.academiewaregem.be
16,www.oudenaarde.be/samw
17,http://samwd.sint-niklaas.be
18,www.dekunstacademiebeveren.be
19,www.urlunknown.be
20,www.aalter.be
21,www.kunstacademievlaamseardennen.be
22,www.stapwest.be
23,www.samwdzottegem.be
24,www.muziekacademiedeinze.be
25,www.hamw.be
26,www.tienen.be/art
27,www.lokeren.be/kunstacademie
28,http://academie.herenthout.be
29,www.servaisacademie.be
30,www.urlnietgekend.be
31,www.amwmol.be
32,www.gamw.lede.be
33,www.academiedevonk.be
34,www.harelbeke.be/samwd
35,www.dilbeek.be
36,www.kunstacademie-eeklo.be
37,https://www.blankenberge.be/academie
38,www.tessenderlo.be
39,www.slac-conservatorium.be
40,www.staproeselare.be
41,www.wetteren.be/gamw
42,www.academie-ieper.be
43,www.amwn.be
44,http://www.amwdgeel.be
45,www.academieborgerhout.be
46,www.academiesab.be
47,www.academieberingen.be
48,www.lennik.be
49,www.pentagoon.be
50,www.gavoorkunst.be
51,www.academievoerenriemst.be
52,www.conservatoriumaanzee.be
53,www.academiehaspengouw.be
54,http://www.amwdmortsel.be
55,www.academieberchem.be
56,www.academiewuustwezel.be
57,www.academiemaasmechelen.be
58,www.orfeus.be
59,www.academieninove.be
60,www.samwdlier.be
61,www.buggenhout.be
62,www.academiewillebroek.be
63,www.kunstenacademie.asse.be
64,www.jetseacademie.be
65,www.kunstkoepel.be
66,www.samwdherentals.be
67,www.academietielt.be
68,www.academiegrimbergen.be
69,www.apkaalst.be
70,www.academieboom.be
71,www.muziekacademieschaarbeek.be
72,www.academiewijnegem.be
73,www.samwddendermonde.be
74,www.academie-ekeren.be
75,http://kunstacademie.geraardsbergen.be
76,www.conservatoriummechelen.be
77,http://maak.knokke-heist.be
78,http://academie.londerzeel.be
79,www.apko.be
80,www.academiezaventem.be
81,http://www.kunstencampushasselt.be
82,www.academiebrasschaat.be
83,www.academiemerksem.be
84,www.academiemaaseik.be
85,www.academietorhout.be
86,www.academiehamme.be
87,www.academiedilsenstokkem.net
88,www.ma-go.be
89,www.kortrijk.be/conservatorium
90,www.academiehsn.be
91,www.apkgent.be
92,www.muzarto.be
93,www.academielebbeke.be
94,www.akademievoormuzischekunsten.be
95,www.kadens.be
96,www.heist-op-den-berg.be
97,www.gmaspw.be
98,www.academiemenen.be
99,www.academiedeurne.be
100,www.scholengroep.gent
101,www.bornem.be
102,www.academieschoten.be
