113,6706,AUTELBAS,true,ARLON,9
114,1367,AUTRE-EGLISE,true,RAMILLIES,7
115,7387,AUTREPPE,true,HONNELLES,8
116,5060,AUVELAIS,true,SAMBREVILLE,11
117,5580,AVE-ET-AUFFE,true,ROCHEFORT,11
118,8630,AVEKAPELLE,true,VEURNE,3
119,8580,AVELGEM,false,AVELGEM,3
120,4260,AVENNES,true,BRAIVES,10
121,3271,AVERBODE,true,SCHERPENHEUVEL-ZICHEM,6
122,4280,AVERNAS-LE-BAUDUIN,true,HANNUT,10
123,4280,AVIN,true,HANNUT,10
124,4340,AWANS,false,AWANS,10
125,6870,AWENNE,true,SAINT-HUBERT,9
126,4400,AWIRS,true,FL?MALLE,10
127,6900,AYE,true,MARCHE-EN-FAMENNE,9
128,4630,AYENEUX,true,SOUMAGNE,10
129,4920,AYWAILLE,false,AYWAILLE,10
130,9890,BAAIGEM,true,GAVERE,4
131,3128,BAAL,true,TREMELO,6
132,9310,BAARDEGEM,true,AALST,4
133,2387,BAARLE-HERTOG,false,BAARLE-HERTOG,1
134,9200,BAASRODE,true,DENDERMONDE,4
135,9800,BACHTE-MARIA-LEERNE,true,DEINZE,4
136,4837,BAELEN,false,BAELEN,10
137,5550,BAGIMONT,true,VRESSE-SUR-SEMOIS,11
138,6464,BAILEUX,true,CHIMAY,8
139,6460,BAILI?VRE,true,CHIMAY,8
140,5555,BAILLAMONT,true,BI?VRE,11
141,7730,BAILLEUL,true,ESTAIMPUIS,8
142,5377,BAILLONVILLE,true,SOMME-LEUZE,11
143,7380,BAISIEUX,true,QUI?VRAIN,8
144,1470,BAISY-THY,true,GENAPPE,7
145,5190,BAL?TRE,true,JEMEPPE-SUR-SAMBRE,11
146,9860,BALEGEM,true,OOSTERZELE,4
147,2490,BALEN,false,BALEN,1
148,9420,BAMBRUGGE,true,ERPE-MERE,4
149,6951,BANDE,true,NASSOGNE,9
150,6500,BARBEN?ON,true,BEAUMONT,8
151,4671,BARCHON,true,BL?GNY,10
152,5570,BARONVILLE,true,BEAURAING,11
153,7534,BARRY,true,TOURNAI,8
